"lagoslakeid","UID","mercury","atrazine","microcystin","ecoli","chla","tp","tn","secchi","DOC","conductivity","lake_huc12","neon_zoneid","lake_lon_decdeg","lake_lat_decdeg","lake_shorelinedevfactor","ws_zoneid","ws_area_ha","value.soil_clay_pct","value.soil_depthtobedrock_cm","value.soil_kffact","value.soil_orgcarbon_gperkg","nlcd_devsum_pct","ag_total","value.runoff_inperyr","P_Ag_Buffered","DMR_Metals_TWPE_lb_eq_yr","DMR_Organic_Enrichment_Disch","Number_of_CSOs","SNFA_MEAN","PIMPV","Manure_P_kg_ha","HUC12_Pop","lake_waterarea_ha"
40,2010644,0.349,0,0,0,2.35,8.23375,0.306,4.5,2.52,160.9,10802040402,0,-72.51368144,42.14581339,1.380009167,40,33.53445824,16.48106061,1552.731061,0.1599999964,168.5189394,85.86956522,0,23.90460297,78.95996808,105.5393002,576878,30,2.28137064,19.64055094,0.0285534824,81550.40355,11.23554081
117,2011118,0.157,0,0,1,7.66,15.41625,0.34,1.8,3.02,27.8,41504030702,0,-72.94649272,44.41665779,1.307107835,117,196.3264802,11.5443038,1319.27895,0.2399999946,244.625879,0,0,22.00734454,59.09798514,0,505.2,0,1.339468002,1.667472562,0.3107722817,6829.517693,7.223521274
328,2010537,0.059,0.13,0.591,9.8,114.29,242.54375,3.206,0.4,11.48,317,70200110606,5,-93.90061486,44.1954596,1.755392655,328,888.2225,23.82766718,7244.330475,0.2399999946,84.28320572,4.421734291,67.87412729,5.006442424,68.97324863,0,0,0,51.4155426,2.555166979,5.645409408,2789.242161,189.2592352
431,2011475,0.146,0.09,3.028,2,329.6,769.694,9.506,0.1,15.14,873.2,70102050306,5,-94.03183459,44.94193467,1.352263564,431,193.3909,22.26315789,8177.07767,0.25,78.45324476,7.448789572,77.28119181,4.79236342,44.96286905,0,0,0,50.33511734,1.706318535,1.990338252,3588.262991,72.19909314
580,2011205,0.177,0,5.79,1,53.5,38.2,0.49,0.75,16,37.2,70700010303,4,-89.34574854,46.06897251,1.410809472,580,276.3635,6.01252472,1524.51648,0.1380918239,171.841793,5.079778574,0,13.7089085,100,0,0,0,0.02252050117,0.1405355387,2.96e-05,137.6378122,14.80909251
647,2010354,0.0487,0,0,0,42.08,27.845,0.873,0.6,3.4,791.5,50400011402,6,-81.22115546,40.24353664,6.181564056,647,16884.33201,21.36768141,543.1110032,0.3810769562,156.0995754,4.808486819,22.44902311,14.94787556,89.74304221,0,0,0,2.372179747,0.5273132838,0.3334636231,736.3379353,663.63993
654,2011043,0.0333,1.62,0.17,9.6,20.96,62.285,1.913,1.2,9.47,539.5,40500011604,4,-85.44887639,41.35304712,1.566811322,654,385.2324162,18.25182224,4428.163414,0.2225245452,75.52927345,3.903693315,59.42028986,11.47747919,63.31781426,0,7196.412791,0,48.31280899,0.6262039007,1.096488022,1142.914815,16.00652388
671,2011014,0.1886,0.03,0,0,6.72,17.08125,0.67,3.1,7.24,251.1,40500020205,4,-86.0536866,42.38551035,1.833247328,671,477.0861657,10.23266263,3328.053135,0.2231827659,189.5372143,12.68191268,10.09261009,14.87511818,80.15015526,0,0,0,23.33396912,1.196402912,4.18430809,2904.5112,114.3752746
696,2011008,0.1971,0.05,1.55,0,7.06,13.69625,0.823,1.9,7.5,450.1,40500010502,4,-85.57441544,42.18636163,1.311093658,696,912.2606587,12.81877314,3544.907135,0.2399999946,172.2981087,55.25330179,4.2578356,11.96470691,98.1368767,0,0,0,21.51283073,6.65584237,0.8431138918,16185.78937,136.0533754
799,2010494,0.0285,3.21,1.042,3.1,38.4,56.1925,1.694,0.5,8.97,361.6,51201060605,5,-86.4627505,41.076344,2.16859149,799,1563.779836,12.82188369,4135.896837,0.1979558425,95.98795181,7.653383934,82.73244782,12.28870387,26.54203878,0,60.84,0,72.60853577,0.5161664112,3.028624344,504.4411172,99.99602864
